ticker,sector,market_cap,gross_margin,roe,debt_to_equity,fcf
ELV,Healthcare,64396406784.0,0.26835,0.124180004,68.838,4552000000.0
EMR,Industrials,84082491392.0,0.52769,0.08335,77.857,2913000000.0
ENPH,Technology,4569747456.0,0.32768002,0.19795,140.21,480089000.0
ETR,Utilities,38688317440.0,0.49988997,0.08853,199.493,-1481200000.0
EOG,Energy,66394988544.0,0.61821,0.20899999,17.15,5771000000.0
EPAM,Technology,9594700800.0,0.30247998,0.11568,4.341,527022000.0
EQT,Energy,32394799104.0,0.74741,0.06473,33.13,573264000.0
EFX,Industrials,29684316160.0,0.56657004,0.12761,93.548,813000000.0
EQIX,Real Estate,77631111168.0,0.49398997,0.07059,141.235,183000000.0
EQR,Real Estate,25928366080.0,0.63221,0.08901,70.333,1254918000.0
ERIE,Financial Services,18489708544.0,0.1765,0.3238,0.615,486404000.0
ESS,Real Estate,19552083968.0,0.68777,0.12810999,118.416,931910000.0
EL,Consumer Defensive,33284253696.0,0.73928,-0.15976,215.926,1441000000.0
EG,Financial Services,14093873152.0,0.065910004,0.06122,25.368,4957000000.0
EVRG,Utilities,15729021952.0,0.522,0.09047,144.484,-352900000.0
ES,Utilities,23946153984.0,0.53669,0.05617,189.941,-2320792000.0
EXC,Utilities,43824128000.0,0.41723,0.10099,174.861,-1528000000.0
EXE,Energy,23352879104.0,0.41367,-0.07096,30.912,8000000.0
EXPE,Consumer Cyclical,23791966208.0,0.89542997,0.52188,278.63,2329000000.0
EXPD,Industrials,15798321152.0,0.13369,0.37695,25.721,682895000.0
EXR,Real Estate,32860303360.0,0.75918,0.063930005,89.649,1866916000.0
XOM,Energy,480266321920.0,0.30786,0.14302,13.918,30716000000.0
FFIV,Technology,17323094016.0,0.80896,0.19892,8.051,762007000.0
FDS,Financial Services,15657309184.0,0.53332,0.26346,75.191,614657000.0
FICO,Technology,36846759936.0,0.80831003,,,607413000.0
FAST,Industrials,53709553664.0,0.45064998,0.32564998,14.319,946800000.0
FRT,Real Estate,8095220224.0,0.67888,0.094469994,133.513,327803000.0
FDX,Industrials,57184280576.0,0.27264,0.14705,,2981000000.0
FIS,Technology,42993074176.0,0.37033,0.05246,80.216,1358000000.0
FITB,Financial Services,28397705216.0,0.0,0.11569,,2410000000.0
FSLR,Technology,19687854080.0,0.43608,0.16766001,7.7,-308077000.0
FE,Utilities,23900028928.0,0.6942,0.09274,178.805,-1139000000.0
FI,Technology,76070412288.0,0.61136,0.12457,115.305,5062000000.0
F,Consumer Cyclical,44855480320.0,0.08067001,0.11497,353.298,6739000000.0
FTNT,Technology,80276824064.0,0.81342006,2.05906,54.842,1879200000.0
